filt,data average,low zodi,high zodi,high earth,high airglow
f200lp,79.5,105.6,75.8,161.6,135.3,110.7
f218w,0.8,0.1,1.6,1.6,1.6,1.7
f225w,1.0,1.0,2.5,2.6,2.5,3.5
f275w,1.0,0.8,2.2,2.5,2.3,2.8
f280n,1.5,0.0,1.5,1.5,1.5,1.5
f300x,1.5,2.8,4.0,4.9,4.4,6.2
f336w,4.5,2.1,2.9,4.9,3.9,3.6
f343n,1.5,1.2,2.3,3.4,2.9,2.7
f350lp,89.7,105.2,74.6,162.6,136.2,106.7
f373n,2.1,0.3,1.7,1.9,1.8,1.8
f390m,2.4,2.6,2.6,3.9,3.6,3.1
f390w,9.1,9.4,8.1,15.8,13.7,10.9
f395n,2.9,0.7,2.0,2.6,2.5,2.2
f410m,3.8,2.6,3.3,5.4,4.9,4.1
f438w,9.1,9.3,8.1,15.6,13.7,10.8
f467m,3.8,4.3,4.5,8.0,7.1,5.8
f469n,1.8,0.7,2.0,2.6,2.5,2.2
f475w,19.1,26.3,20.,41.2,35.8,27.8
f475x,29.1,42.3,31.2,65.6,56.5,43.8
f487n,3.5,1.1,2.3,3.2,2.9,2.6
f502n,2.5,1.3,2.4,3.4,3.2,2.8
f547m,12.9,14.2,11.4,23.0,19.9,15.7
f555w,35.0,35.9,26.8,56.2,48.3,37.5
f600lp,37.9,57.3,40.9,89.9,74.0,58.8
f606w,37.9,55.1,40.0,85.6,72.5,56.6
f621m,13.9,15.9,12.5,25.8,21.8,17.4
f625w,29.1,36.5,26.9,57.3,48.3,38.0
f631n,,,0.9,2.0,1.7,1.3
f645n,2.9,1.9,2.8,4.4,3.9,3.4
f656n,3.2,0.4,1.7,2.1,2.0,1.9
f657n,5.0,2.8,3.4,5.8,5.1,4.3
f658n,3.4,0.6,1.9,2.5,2.3,2.1
f665n,2.4,3.1,3.6,6.2,5.4,4.6
f673n,6.2,2.7,3.4,5.6,4.9,4.2
f680n,4.3,8.5,7.4,14.6,12.3,10.0
f689m,13.5,15.4,12.2,25.2,21.1,16.9
f763m,8.6,13.0,10.5,21.6,18.0,14.5
f775w,21.5,23.6,17.7,38.0,31.3,25.1
f814w,23.2,30.1,22.1,48.1,39.4,31.6
f845m,,,6.4,14.5,11.7,9.3
f850lp,11.5,8.8,7.5,15.2,12.5,10.3
f953n,2.4,0.4,1.8,2.1,2.0,1.9
